Exchanges:  {'EX_cpd00067_e0_o': 21.753473, 'EX_cpd00007_e0_o': 111.932184, 'EX_cpd00048_e0_i': 0.351318, 'EX_cpd00001_e0_i': 95.59228, 'EX_cpd00013_e0_i': 15.547783, 'EX_cpd11632_e0_i': 909.497991, 'EX_cpd00011_e0_i': 109.265404, 'EX_cpd00009_e0_i': 5.520706, 'EX_cpd00099_e0_i': 0.0}
[Init] V0_init=-2: unscored reactions left at 0 (no mean/2 imputation)

[Init] Injecting 9 exchange flux ceilings into V0...
-> Successfully replaced 9 matrix columns.

[Init] media chain: set 39 columns from media_chain_init.tsv
-> [Init] Successfully forced 'bio1' initialization to 0.0
[EarlyStop] patience_limit=500  min_delta=0.001
QP-Loss 389000 0.054711718 0.027891334
QP-Loss 390000 0.05443565 0.0276971
QP-Loss 391000 0.054161567 0.027505055
QP-Loss 392000 0.053889375 0.027315099
QP-Loss 393000 0.053619046 0.02712635
QP-Loss 394000 0.05335031 0.026938539
QP-Loss 395000 0.053083178 0.02675169
QP-Loss 396000 0.0528176 0.026565678
Step 396961: freezing conditions [1] (losses [0.01810741424560547])
QP-Loss 397000 0.052553862 0.026380643
QP-Loss 398000 0.052293688 0.026196025
QP-Loss 399000 0.052034955 0.026012396
QP-Loss 400000 0.05177754 0.025829604
QP-Loss 401000 0.05152163 0.025647614
QP-Loss 402000 0.051267177 0.025466468
QP-Loss 403000 0.051014353 0.02528656
QP-Loss 404000 0.05076319 0.02510787
QP-Loss 405000 0.0505136 0.024930686
QP-Loss 406000 0.05026597 0.024755772
QP-Loss 407000 0.050020058 0.02458229
QP-Loss 408000 0.049775463 0.024409702
QP-Loss 409000 0.04953215 0.024237944
QP-Loss 410000 0.04929036 0.024067095
QP-Loss 411000 0.049049843 0.023897236
QP-Loss 412000 0.04881079 0.023728453
QP-Loss 413000 0.048575312 0.023561446
QP-Loss 414000 0.04834339 0.023396604
QP-Loss 415000 0.04811288 0.023233293
QP-Loss 416000 0.047883686 0.02307076
QP-Loss 417000 0.0476557 0.022908973
QP-Loss 418000 0.047429115 0.022748075
QP-Loss 419000 0.04720414 0.022587813
QP-Loss 420000 0.04698052 0.022428246
QP-Loss 421000 0.046758007 0.022269452
QP-Loss 422000 0.046536762 0.022111338
QP-Loss 423000 0.04631676 0.021954147
QP-Loss 424000 0.046097945 0.021797769
QP-Loss 425000 0.045881834 0.021642841
QP-Loss 426000 0.04566769 0.021489395
QP-Loss 427000 0.045454696 0.021336712
QP-Loss 428000 0.045243394 0.021186259
QP-Loss 429000 0.04503348 0.021037102
QP-Loss 430000 0.044824842 0.020888735
QP-Loss 431000 0.04461767 0.020741096
QP-Loss 432000 0.044411734 0.020594312
QP-Loss 433000 0.044207018 0.02044863
QP-Loss 434000 0.04400455 0.02030567
QP-Loss 435000 0.043805882 0.02016798
QP-Loss 436000 0.04360826 0.020030934
QP-Loss 437000 0.043411687 0.019894945
QP-Loss 438000 0.043216307 0.019759728
QP-Loss 439000 0.04302211 0.019625137
QP-Loss 440000 0.0428292 0.019491661
Step 440681: freezing conditions [9] (losses [0.026209630072116852])
Step 440792: freezing conditions [5] (losses [0.024563075974583626])
QP-Loss 441000 0.04263872 0.019357925
QP-Loss 442000 0.042454187 0.019224988
QP-Loss 443000 0.042270735 0.019092867
QP-Loss 444000 0.04208854 0.018962339
QP-Loss 445000 0.0419074 0.018833023
QP-Loss 446000 0.041727167 0.018704178
QP-Loss 447000 0.041548025 0.018576007
QP-Loss 448000 0.04136999 0.018448725
QP-Loss 449000 0.04119319 0.018322699
QP-Loss 450000 0.04101741 0.018197393
QP-Loss 451000 0.040842652 0.01807297
QP-Loss 452000 0.040669005 0.017949162
Step 452294: freezing conditions [3] (losses [0.02343796379864216])
QP-Loss 453000 0.040497858 0.017824586
QP-Loss 454000 0.04032821 0.017700152
QP-Loss 455000 0.040159468 0.017576396
QP-Loss 456000 0.03999153 0.017453223
Step 456448: freezing conditions [8] (losses [0.02867833338677883])
QP-Loss 457000 0.039825823 0.017329808
QP-Loss 458000 0.039662138 0.017206483
QP-Loss 459000 0.03949976 0.017084934
QP-Loss 460000 0.039338317 0.0169642
QP-Loss 461000 0.03917772 0.016844105
QP-Loss 462000 0.039017923 0.016724994
QP-Loss 463000 0.03885906 0.01660712
QP-Loss 464000 0.03870119 0.016490191
QP-Loss 465000 0.038544264 0.016373841
QP-Loss 466000 0.038388252 0.016258191
QP-Loss 467000 0.038233053 0.016143251
QP-Loss 468000 0.038078498 0.016028821
QP-Loss 469000 0.03792465 0.015914941
QP-Loss 470000 0.03777167 0.015801555
QP-Loss 471000 0.03761957 0.01568868
QP-Loss 472000 0.037468255 0.01557635
QP-Loss 473000 0.037317764 0.015464747
QP-Loss 474000 0.037168037 0.015353989
QP-Loss 475000 0.037019208 0.015244339
QP-Loss 476000 0.03687114 0.015135648
QP-Loss 477000 0.03672396 0.0150277205
QP-Loss 478000 0.036578197 0.01492215
QP-Loss 479000 0.036433175 0.014817341
QP-Loss 480000 0.03628895 0.014713198
QP-Loss 481000 0.036145646 0.0146097895
QP-Loss 482000 0.036003217 0.014507044
QP-Loss 483000 0.03586148 0.014404862
QP-Loss 484000 0.0357204 0.014303145
QP-Loss 485000 0.035579927 0.01420195
QP-Loss 486000 0.035440072 0.014101282
QP-Loss 487000 0.035301086 0.014001459
